1000 589
1247 11 W
900 2 W
1357 3 M
776 2 G
166 12 M
723 10 W
1357 7 M
672 15 W
175 4 G
788 6 M
1062 15 M
535 3 M
1141 8 W
1164 10 G
467 13 G
1338 13 M
1165 13 M
632 14 W
153 6 G
499 1 G
141 11 M
810 4 M
1068 10 G
573 1 M
154 3 W
419 12 W
939 6 G
585 12 W
943 5 G
601 3 G
1080 4 M
970 5 G
21 12 G
1009 8 G
289 3 W
1247 2 M
334 13 M
1103 13 M
1325 8 M
677 11 W
548 10 W
271 11 M
435 9 M
442 11 W
360 4 M
612 13 G
1010 4 G
299 7 G
418 15 G
785 14 G
305 10 G
912 1 M
519 2 M
510 4 M
126 13 W
1353 15 M
403 8 W
1286 6 G
997 3 G
206 10 M
631 6 G
709 1 W
633 2 M
80 4 G
335 1 W
693 9 M
460 10 M
210 8 G
1355 3 G
1196 1 M
330 13 G
777 13 W
714 5 G
823 6 G
875 7 G
1032 2 M
88 12 G
92 4 G
137 5 W
724 7 W
673 4 G
1008 1 M
586 15 G
62 10 G
79 4 G
170 10 W
648 3 W
1155 4 W
222 10 G
231 3 W
1028 8 G
1128 7 M
917 10 G
747 8 M
797 3 G
1092 11 G
259 13 G
1018 3 M
188 10 W
1403 5 G
82 10 G
884 7 G
528 14 W
604 8 M
201 10 M
579 2 G
439 12 M
864 10 M
517 6 G
1042 10 W
1005 1 M
1068 13 W
904 11 M
1127 11 G
779 10 M
173 13 W
544 15 G
1170 2 M
124 4 W
1304 9 G
85 3 M
535 9 G
631 10 M
1326 8 W
358 11 G
58 7 M
1144 14 M
562 4 W
1158 5 W
396 10 W
928 12 M
1063 9 M
929 2 G
1297 4 W
797 11 M
352 1 W
1054 13 W
1423 12 W
152 4 W
1163 2 M
1251 5 M
593 3 M
1189 11 M
1117 4 M
856 15 W
837 15 G
1089 7 M
1268 8 G
767 7 W
1083 3 M
906 13 M
833 4 M
1111 3 M
365 14 W
76 8 G
274 13 W
416 3 M
1068 10 G
1277 5 G
1390 2 M
873 9 W
1011 9 G
664 3 M
134 2 G
252 1 M
856 4 W
522 1 G
261 14 M
1239 10 G
674 10 W
875 8 M
712 2 W
43 4 M
664 11 M
1127 6 M
119 4 G
800 7 M
844 4 G
1105 6 W
1262 1 W
552 2 G
188 3 W
74 14 G
682 13 W
1091 13 G
986 2 M
752 7 M
649 13 W
931 4 W
869 11 M
164 10 W
1111 12 W
1283 8 W
322 1 W
1318 11 M
52 9 M
856 9 G
36 14 M
574 12 W
1061 14 G
1402 11 M
1139 5 W
147 2 W
506 15 G
637 9 G
575 4 M
832 11 W
993 3 W
950 7 M
847 11 W
229 10 M
1064 9 G
788 6 W
363 2 M
1026 6 W
1414 2 W
830 4 G
1049 13 M
70 4 G
840 7 G
527 15 G
1326 7 W
1237 6 W
822 9 W
934 4 W
1165 11 W
861 15 W
1284 11 M
713 7 W
1035 5 G
332 9 M
1307 8 M
999 14 M
548 7 W
250 7 W
1197 11 G
1066 4 M
1144 3 M
1363 1 G
1265 10 G
888 7 G
1408 10 M
265 7 M
273 2 G
1430 13 G
1003 10 M
653 4 G
870 9 W
1054 13 M
563 4 M
79 15 G
433 5 M
904 4 M
1043 3 W
848 7 G
69 5 M
763 12 G
704 14 M
122 4 W
49 7 M
1342 6 M
1165 8 G
1364 3 W
1211 5 G
1268 13 W
405 14 M
124 2 M
801 15 W
1007 2 W
1282 8 G
1360 9 G
464 6 W
1360 11 M
959 12 M
323 5 W
19 5 W
1222 7 G
940 6 M
381 6 G
676 8 G
599 14 W
466 5 M
788 5 W
1304 6 G
270 15 G
417 1 W
608 10 M
938 10 M
750 11 G
1263 12 M
544 15 W
1053 7 W
1134 5 M
568 4 M
1100 3 W
1231 8 M
1013 2 W
816 2 G
157 11 G
609 1 M
1179 10 W
1415 2 G
1110 8 W
1193 4 G
1368 2 G
555 4 M
1103 14 M
184 5 W
398 4 W
1280 4 W
1289 15 W
776 1 W
203 7 M
618 11 W
95 12 W
764 11 M
163 8 M
863 14 M
664 8 W
1263 3 W
76 2 G
1018 11 M
427 15 M
215 11 W
1122 7 W
843 9 G
1046 8 M
975 3 M
52 8 W
755 14 G
1077 2 M
922 10 W
293 14 W
314 10 G
2 2 W
606 7 M
186 11 G
329 8 W
846 10 W
685 10 G
985 3 M
32 8 W
843 12 W
365 12 G
1196 13 W
1392 2 W
1387 2 M
835 12 M
44 6 G
1325 12 M
562 8 W
586 7 G
1076 13 M
970 5 W
293 7 W
402 8 W
592 12 G
1057 12 W
1211 4 W
973 7 W
37 7 M
42 6 G
120 11 W
1170 9 M
1368 11 M
1068 9 M
864 11 G
952 8 M
325 12 G
578 11 W
527 12 W
627 8 G
1111 2 M
1021 3 W
680 7 G
730 3 M
384 8 M
180 13 G
427 2 W
83 9 G
1205 1 W
1372 8 W
1137 12 W
938 10 G
1039 8 W
71 4 G
690 13 W
989 2 W
1130 11 G
769 6 M
476 10 G
276 1 W
206 11 G
1184 8 W
404 7 W
769 14 W
1290 14 W
46 12 M
766 13 W
1215 15 W
1247 4 W
855 6 W
657 1 G
196 12 M
531 13 W
1100 10 G
363 4 G
1410 15 W
997 6 G
1062 14 M
27 13 W
583 6 W
275 2 G
1223 9 G
733 4 W
1006 14 M
319 8 G
259 15 W
250 1 W
1311 9 W
1030 10 G
1051 9 M
1012 6 W
1027 15 M
420 13 G
553 10 W
652 7 G
219 14 G
11 1 M
584 8 G
1167 4 W
1190 6 G
1271 11 M
565 7 W
757 6 M
796 15 W
1360 12 W
814 6 M
326 11 G
1297 13 W
524 1 G
1144 1 M
822 3 G
1129 8 M
232 5 M
545 10 W
282 6 G
952 8 M
383 7 G
597 14 G
1302 8 W
340 6 M
986 3 W
886 3 W
1202 7 G
466 7 G
779 2 W
1062 13 G
456 12 G
661 6 W
1110 13 M
1375 15 M
809 4 G
496 15 G
249 3 M
382 8 M
1242 1 W
179 1 G
931 11 M
504 8 W
1178 13 G
103 12 W
560 12 M
855 1 M
928 14 M
283 2 M
530 15 W
569 4 W
793 7 W
308 6 G
102 10 M
1173 13 W
514 5 W
499 2 M
1128 10 W
585 1 M
1100 13 W
1028 6 G
76 10 W
1295 3 G
1213 15 W
1010 15 M
964 15 M
898 15 G
162 2 G
656 6 W
874 8 G
176 2 G
1404 7 M
80 3 G
1379 11 M
674 14 W
356 5 W
1118 8 W
418 6 W
1192 6 M
1086 14 M
54 2 M
946 10 W
298 7 M
280 12 W
1251 2 G
1394 4 G
1170 15 M
440 5 G
913 6 G
382 10 W
387 2 W
763 5 W
831 8 W
797 7 W
422 10 G
844 3 G
1139 13 G
400 15 W
1181 13 G
190 8 G
548 2 G
1216 11 G
989 12 G
190 13 W
117 10 G
1373 9 G
546 2 G
1192 1 W
156 2 M
395 4 W
535 5 W
1237 8 G
1419 8 M
394 2 G
296 7 G
469 1 G
319 8 G
982 1 M
1020 5 G
61 12 M
1298 3 W
783 2 G
1422 2 W
617 9 W
878 4 G
849 10 G
1362 2 G
567 4 G
56 9 W
1263 15 M
1421 9 W
1403 7 G
422 13 M
868 11 W
910 7 G
1125 15 W
620 13 G
84 5 M
542 4 M
442 9 G
447 2 W
221 2 W
1245 11 G
1409 6 M
531 4 G
661 2 G
195 11 G
367 9 M
466 1 W
1382 1 G
431 11 M
671 10 W
1371 5 G
462 9 M
38 9 G
1367 3 W
1253 10 M
35 15 W
1199 3 M
906 9 M
1335 4 M
82 1 G
362 12 W
1199 2 W
1140 1 W
1133 13 M
1335 2 G
632 4 G
1074 15 M
1154 15 W
138 2 M
701 3 W
146 11 W
877 5 M
1313 5 M
1415 14 W
409 6 G
472 6 G
1285 4 M
870 6 M
240 2 G
1208 1 M
645 9 W
480 13 G
1250 15 G
1058 13 W
862 8 W
189 11 G
551 13 M
460 4 M
139 7 G
22 8 G
1260 8 M
508 8 W
466 12 G
982 7 W
25 3 M
1375 2 W
930 10 M
373 15 M
289 9 G
750 5 M
194 5 W
523 10 G
354 12 W
1076 12 W
1076 6 M
1097 2 M
371 13 W
264 2 W
971 5 M
1329 10 M
1307 10 M
188 6 M
348 6 G
1228 11 M
139 9 M
450 3 W
624 8 W
953 14 G
849 5 M
217 2 M
116 6 G
1153 11 M
715 5 G
61 4 G
756 2 W
1208 1 G
218 9 M
230 4 M
248 5 W
927 11 M
1205 4 G
880 5 G
131 2 W
628 14 W
474 1 G
1298 10 W
1235 6 W
1372 14 W
44 6 G
926 15 M
832 4 W
568 1 G
1118 8 G
829 12 G
594 7 W
57 10 G
763 4 W
715 12 G
1064 2 M
675 13 M
1337 1 W
996 10 W
1124 4 M
115 7 M
208 10 M
1419 8 W
1216 6 M
832 6 W
627 10 G
153 2 M
51 14 G
440 15 W
1179 12 M
1087 4 W
688 4 W
1062 6 M
1281 15 G
513 5 G
320 2 G
1127 6 M
1264 15 W
199 8 G
965 4 M
1184 2 G
175 5 M
381 4 M
201 11 W
214 13 G
489 6 M
783 2 G
884 2 G
397 1 M
586 13 M
280 13 W
681 13 G
733 13 W
249 1 G
55 2 G
115 6 G
660 5 M
979 11 W
748 1 M
303 9 W
1329 12 M
741 1 W
1157 15 G
591 5 W
648 10 M
1346 2 M
72 12 G
1148 12 M
71 13 M
335 10 M
1081 2 W
1028 8 W
612 5 M
855 8 W
1145 11 W
93 12 G
1138 10 M
273 8 W
332 3 W
104 7 W
1277 6 M
671 5 W
1388 14 M
430 13 G
1423 11 W
603 12 W
737 12 G
308 13 G
1033 5 W
318 14 M
506 13 G
85 11 W
857 14 G
871 6 W
578 8 W
70 10 M
366 10 G
84 3 M
387 14 G
189 8 G
760 7 W
276 14 G
1398 7 W
555 6 W
801 11 M
261 13 W
425 8 G
236 5 G
366 5 M
117 1 M
743 15 W
1331 12 G
1419 11 W
915 8 W
1272 5 G
1170 12 G
886 1 W
1010 8 M
123 10 W
467 3 M
462 1 G
1013 15 G
237 10 W
744 9 W
1399 15 G
404 1 M
999 12 G
125 3 M
1047 14 W
617 5 W
1052 13 G
36 15 G
1378 13 W
839 3 W
1279 7 G
378 9 W
1310 9 W
149 1 W
533 13 W
428 12 M
173 4 G
683 6 G
249 9 M
885 8 W
985 8 G
224 7 W
579 1 G
1317 1 M
179 12 G
790 9 W
912 12 M
687 6 G
828 14 M
1169 6 G
79 3 G
1227 8 M
1154 7 M
1096 13 G
879 9 W
781 9 G
396 4 M
1078 2 M
1204 12 G
7 7 G
230 13 M
756 15 G
552 3 W
865 10 G
198 5 G
933 1 G
91 3 M
820 9 M
948 13 M
1359 1 M
367 7 M
77 2 W
989 9 M
1418 13 W
712 10 W
113 12 M
1101 10 W
969 11 M
1239 6 G
463 12 M
39 11 W
373 10 W
1148 11 G
552 11 M
275 10 M
91 3 W
642 14 M
83 7 G
386 5 W
980 3 G
671 10 M
194 3 W
1416 9 W
970 1 M
66 1 W
931 8 G
761 2 W
277 7 M
1138 12 W
929 1 M
709 7 G
1381 12 W
1242 10 M
603 9 M
509 15 M
718 7 G
411 10 G
1133 5 G
577 11 W
380 8 G
1062 4 W
1047 6 M
1348 2 G
299 5 G
633 7 M
1350 14 M
372 1 W
717 3 G
1034 1 W
1364 3 W
1237 3 M
811 13 W
664 13 W
1060 10 M
44 5 G
336 12 M
86 8 M
1108 9 G
561 8 G
770 12 G
254 1 G
625 1 M
154 15 M
378 5 G
1002 2 M
901 3 W
979 4 M
924 2 G
1189 4 M
625 8 G
1119 6 G
855 7 W
1122 14 M
405 6 G
43 14 M
595 14 M
288 12 G
900 8 G
523 8 W
532 7 M
